Genre,Proportion
Platanus,[0.15175]
Ginkgo,[0.00361]
Salix,[0.00465]
Liriodendron,[0.0165]
Catalpa,[0.0029]
Pyrus,[0.0163]
Robinia,[0.00934]
Acer,[0.1717]
Zelkova,[0.00758]
Parrotia,[0.00176]
Fraxinus,[0.04901]
Fagus,[0.00869]
Magnolia,[0.01331]
Taxus,[0.00657]
Alnus,[0.02688]
Picea,[0.0082]
Cupressus,[0.00661]
Sequoiadendron,[0.00046]
Pinus,[0.06893]
Betula,[0.04058]
Tilia,[0.0576]
Cedrus,[0.01325]
Populus,[0.03144]
Celtis,[0.00628]
Thuja,[0.00156]
Sorbus,[0.00286]
Sophora,[0.01386]
Liquidambar,[0.02633]
Prunus,[0.03241]
Calocedrus,[0.00013]
Paulownia,[0.00329]
Gymnocladus,[0.00029]
Ulmus,[0.00683]
Corylus,[0.00566]
Morus,[0.00325]
Clerodendron,[0.00016]
Gleditsia,[0.01146]
Libocedrus,[0.00153]
Quercus,[0.02203]
Lagerstroemia,[0.00163]
Taxodium,[0.00029]
Amélanchier,[0.00312]
Cercidiphyllum,[0.00023]
Ilex,[0.00078]
Malus,[0.00853]
Cedrela,[0.0015]
Photinia,[0.00033]
Tetradium,[0.00286]
Koelreuteria,[0.00882]
Halesia,[0.00029]
Crataegus,[0.00351]
Aesculus,[0.01494]
Ptelea,[0.0001]
Chimonanthus,[0.0001]
Carpinus,[0.04218]
Metasequoia,[0.00264]
Cercis,[0.01142]
Cornus,[0.00075]
Juglans,[0.00215]
Pteroceltis,[0.00039]
Broussonetia,[0.00075]
Phellodendron,[0.00042]
Cupressocyparis,[0.00325]
Cydonia,[0.00036]
Ficus,[0.00062]
Eleagnus,[0.00062]
Lonicera,[0.0002]
Albizia,[0.00218]
Pterocarya,[0.00169]
Davidia,[0.00023]
Buxus,[0.00055]
Cladastris,[0.00146]
Chionanthus,[0.00107]
Syringa,[0.00133]
Abies,[0.00091]
Sterculia,[3e-05]
Phillyrea,[0.0001]
Ailanthus,[0.0026]
Olea,[0.00016]
Sambucus,[0.00107]
Chamaecyparis,[0.01214]
Fontanesia,[0.00013]
Pterostyrax,[0.0002]
Rhamnus,[3e-05]
Diospyros,[0.00055]
Laburnum,[0.00042]
Ostrya,[0.00143]
Juniperus,[0.00013]
Araucaria,[7e-05]
Cryptomeria,[7e-05]
Eriobotrya,[0.0001]
Cephalotaxus,[0.0001]
Mespilus,[0.00023]
Pistacia,[0.00023]
Cotinus,[0.00036]
Trachycarpus,[0.00072]
Rhus,[0.00023]
Castanea,[3e-05]
Maclura,[0.00016]
Hovenia,[7e-05]
Styrax,[0.0001]
Eucalyptus,[3e-05]
Staphylea,[3e-05]
Sequoia,[3e-05]
Chitalpa,[0.00013]
Ligustrum,[0.00016]
Larix,[0.00016]
Nyssa,[3e-05]
Punica,[0.0001]
Sciadopitys,[3e-05]
Sorbopyrus,[3e-05]
Poncinos,[3e-05]
